l,p,method,family,avg_discounted_cost,std,details
2,4,Basestock,heuristic,6.64910854385527,0.36244023892929594,"{""S"": 11}"
2,4,Cappedbasestock,heuristic,4.612684382581498,0.42330119839078,"{""S"": 17, ""r"": 5}"
2,4,Constantorder,heuristic,5.524646099949014,0.5175074700856972,"{""r"": 4}"
2,4,Myopic1,heuristic,5.496485747847564,0.2717580833531504,"{""max_order"": 30}"
2,4,DQN,drl,7.957816058059336,0.4021578613671437,DRL
2,4,ActorCritic,drl,15.942538414107778,0.6872840755420109,DRL
2,4,PolicyGradient,drl,283.95739327092423,17.36122698493159,DRL
2,9,Basestock,heuristic,9.173333601638413,0.5651106561123468,"{""S"": 12}"
2,9,Cappedbasestock,heuristic,6.860974510665851,0.40832564105036606,"{""S"": 18, ""r"": 6}"
2,9,Constantorder,heuristic,10.7999114974526,1.103379498609677,"{""r"": 4}"
2,9,Myopic1,heuristic,7.394295891828859,0.5365462493663611,"{""max_order"": 30}"
2,9,DQN,drl,7.407220238128628,0.7121939122694666,DRL
2,9,ActorCritic,drl,45.532287933780495,1.506080638263394,DRL
2,9,PolicyGradient,drl,15.891898633906218,0.7299691078065407,DRL
3,4,Basestock,heuristic,7.990348336108887,0.4103082856749258,"{""S"": 14}"
3,4,Cappedbasestock,heuristic,4.998228433269114,0.43716544194175105,"{""S"": 22, ""r"": 5}"
3,4,Constantorder,heuristic,5.687606192920342,0.5168012472453316,"{""r"": 4}"
3,4,Myopic1,heuristic,6.5056886695955045,0.43650355421929676,"{""max_order"": 30}"
3,4,DQN,drl,5.917781305455969,0.3846927960437289,DRL
3,4,ActorCritic,drl,16.221781159765953,0.6171942316460294,DRL
3,4,PolicyGradient,drl,1704.9545406780449,14.3406234776066,DRL
3,9,Basestock,heuristic,11.284656369648848,0.7417209844621203,"{""S"": 17}"
3,9,Cappedbasestock,heuristic,7.472243763999043,0.6654126706388117,"{""S"": 23, ""r"": 6}"
3,9,Constantorder,heuristic,11.894500602420555,1.1811046460736483,"{""r"": 4}"
3,9,Myopic1,heuristic,8.969326406591042,0.6294053746228921,"{""max_order"": 30}"
3,9,DQN,drl,8.736122350326365,0.7455407113073457,DRL
3,9,ActorCritic,drl,44.719148811424546,1.5309401519543413,DRL
3,9,PolicyGradient,drl,16.790707711326725,7.115855018586302,DRL
4,4,Basestock,heuristic,9.30807319144736,0.5370355925680383,"{""S"": 17}"
4,4,Cappedbasestock,heuristic,5.285653144434286,0.34296269910600163,"{""S"": 24, ""r"": 5}"
4,4,Constantorder,heuristic,5.830942287428601,0.5492585002453272,"{""r"": 4}"
4,4,Myopic1,heuristic,7.029126781755371,0.4814938045146761,"{""max_order"": 30}"
4,4,DQN,drl,6.4849800999006835,0.4466126590674554,DRL
4,4,ActorCritic,drl,19.684378709205628,0.6172966019943881,DRL
4,4,PolicyGradient,drl,16.168493131235838,0.46863921522321567,DRL
4,9,Basestock,heuristic,13.03350927224847,0.7415905166567195,"{""S"": 22}"
4,9,Cappedbasestock,heuristic,8.385108206456119,0.8934166299661866,"{""S"": 30, ""r"": 5}"
4,9,Constantorder,heuristic,11.734853734902982,1.1371278082232787,"{""r"": 4}"
4,9,Myopic1,heuristic,10.340684675577196,0.782424097535104,"{""max_order"": 30}"
4,9,DQN,drl,11.339625361206794,0.8666636921585009,DRL
4,9,ActorCritic,drl,45.14895077085668,1.4644614251327366,DRL
4,9,PolicyGradient,drl,14.578038931534962,4.561320969265997,DRL
